Date;Filière;Valeur (TWh)
2007-05;"Solaire";0,0005
2007-06;"Solaire";0,0005
2007-07;"Solaire";0,0005
2007-08;"Solaire";0,0005
2007-09;"Solaire";0,0005
2007-10;"Solaire";0,0005
2007-11;"Solaire";0,0005
2007-12;"Solaire";0,0005
2008-01;"Solaire";0,0013
2008-02;"Solaire";0,0015
2008-03;"Solaire";0,0017
2008-04;"Solaire";0,002
2008-05;"Solaire";0,002
2008-06;"Solaire";0,0021
2008-07;"Solaire";0,003
2008-08;"Solaire";0,0027
2008-09;"Solaire";0,0029
2008-10;"Solaire";0,0025
2008-11;"Solaire";0,002
2008-12;"Solaire";0,0019
2009-01;"Solaire";0,005
2009-02;"Solaire";0,007
2009-03;"Solaire";0,012
2009-04;"Solaire";0,012
2009-05;"Solaire";0,016
2009-06;"Solaire";0,018
2009-07;"Solaire";0,021
2009-08;"Solaire";0,021
2009-09;"Solaire";0,018
2009-10;"Solaire";0,015
2009-11;"Solaire";0,009
2009-12;"Solaire";0,007
2010-01;"Solaire";0,01
2010-02;"Solaire";0,016
2010-03;"Solaire";0,031
2010-04;"Solaire";0,045
2010-05;"Solaire";0,054
2010-06;"Solaire";0,055
2010-07;"Solaire";0,069
2010-08;"Solaire";0,074
2010-09;"Solaire";0,074
2010-10;"Solaire";0,058
2010-11;"Solaire";0,032
2010-12;"Solaire";0,03
2011-01;"Solaire";0,048
2011-02;"Solaire";0,066
2011-03;"Solaire";0,126
2011-04;"Solaire";0,19
2011-05;"Solaire";0,225
2011-06;"Solaire";0,214
2011-07;"Solaire";0,249
2011-08;"Solaire";0,271
2011-09;"Solaire";0,251
2011-10;"Solaire";0,208
2011-11;"Solaire";0,12
2011-12;"Solaire";0,099
2012-01;"Solaire";0,125
2012-02;"Solaire";0,216
2012-03;"Solaire";0,356
2012-04;"Solaire";0,329
2012-05;"Solaire";0,454
2012-06;"Solaire";0,483
2012-07;"Solaire";0,544
2012-08;"Solaire";0,536
2012-09;"Solaire";0,413
2012-10;"Solaire";0,283
2012-11;"Solaire";0,182
2012-12;"Solaire";0,149
2013-01;"Solaire";0,146
2013-02;"Solaire";0,23
2013-03;"Solaire";0,344
2013-04;"Solaire";0,434
2013-05;"Solaire";0,503
2013-06;"Solaire";0,563
2013-07;"Solaire";0,658
2013-08;"Solaire";0,602
2013-09;"Solaire";0,463
2013-10;"Solaire";0,32
2013-11;"Solaire";0,183
2013-12;"Solaire";0,216
2014-01;"Solaire";0,176353009
2014-02;"Solaire";0,262653399
2014-03;"Solaire";0,534329056
2014-04;"Solaire";0,584358496
2014-05;"Solaire";0,68160778
2014-06;"Solaire";0,763466078
2014-07;"Solaire";0,686151539
2014-08;"Solaire";0,694398951
2014-09;"Solaire";0,640457427
2014-10;"Solaire";0,479939626
2014-11;"Solaire";0,244431152
2014-12;"Solaire";0,190263887
2015-01;"Solaire";0,251855835
2015-02;"Solaire";0,358930305
2015-03;"Solaire";0,537183236
2015-04;"Solaire";0,782949366
2015-05;"Solaire";0,843757089
2015-06;"Solaire";0,951891934
2015-07;"Solaire";0,943417332
2015-08;"Solaire";0,851805962
2015-09;"Solaire";0,715988378
2015-10;"Solaire";0,512513132
2015-11;"Solaire";0,376705502
2015-12;"Solaire";0,306134129
2016-01;"Solaire";0,276041403
2016-02;"Solaire";0,409761782
2016-03;"Solaire";0,67535456
2016-04;"Solaire";0,795850015
2016-05;"Solaire";0,931695429
2016-06;"Solaire";0,909813823
2016-07;"Solaire";1,068824735
2016-08;"Solaire";1,060671041
2016-09;"Solaire";0,822471326
2016-10;"Solaire";0,726886983
2016-11;"Solaire";0,368786897
2016-12;"Solaire";0,368729961
2017-01;"Solaire";0,362941822
2017-02;"Solaire";0,430247997
2017-03;"Solaire";0,701990877
2017-04;"Solaire";1,042176329
2017-05;"Solaire";1,087886667
2017-06;"Solaire";1,1279303
2017-07;"Solaire";1,079611405
2017-08;"Solaire";1,049986653
2017-09;"Solaire";0,820547325
2017-10;"Solaire";0,713884346
2017-11;"Solaire";0,454424329
2017-12;"Solaire";0,276999601
2018-01;"Solaire";0,27454880333596
2018-02;"Solaire";0,51943436649205
2018-03;"Solaire";0,76600224134734
2018-04;"Solaire";1,0079664089268
2018-05;"Solaire";1,1413631130581
2018-06;"Solaire";1,2857140218689
2018-07;"Solaire";1,4292409092911
2018-08;"Solaire";1,3164334917922
2018-09;"Solaire";1,1624357001671
2018-10;"Solaire";0,78824563338022
2018-11;"Solaire";0,47103286118343
2018-12;"Solaire";0,28308183182302
2019-01;"Solaire";0,41712816477612
2019-02;"Solaire";0,77263743384789
2019-03;"Solaire";1,0998391739427
2019-04;"Solaire";1,1094147663077
2019-05;"Solaire";1,3620638029494
2019-06;"Solaire";1,4453528933106
2019-07;"Solaire";1,5445849622436
2019-08;"Solaire";1,4251378565594
2019-09;"Solaire";1,192008970306
2019-10;"Solaire";0,76259605739038
2019-11;"Solaire";0,44683292482604
2019-12;"Solaire";0,42776991568344
2020-01;"Solaire";0,467551616834
2020-02;"Solaire";0,707553411667
2020-03;"Solaire";1,014502267831
2020-04;"Solaire";1,260516188332
2020-05;"Solaire";1,543109171
2020-06;"Solaire";1,468763700001
2020-07;"Solaire";1,690834250503
2020-08;"Solaire";1,504209272333
2020-09;"Solaire";1,221044863665
2020-10;"Solaire";0,768218621168
2020-11;"Solaire";0,659877402333
2020-12;"Solaire";0,353014417334
2021-01;"Solaire";0,43456266513803
2021-02;"Solaire";0,62959629312028
2021-03;"Solaire";1,2285258134972
2021-04;"Solaire";1,5336167823628
2021-05;"Solaire";1,5720588928935
2021-06;"Solaire";1,639167533638
2021-07;"Solaire";1,676094859676
2021-08;"Solaire";1,7040902828343
2021-09;"Solaire";1,4138879819554
2021-10;"Solaire";1,2019098718187
2021-11;"Solaire";0,66292761381884
2021-12;"Solaire";0,53206634124574
2022-01;"Solaire";0,760099410252
2022-02;"Solaire";0,982135921205
2022-03;"Solaire";1,357705195213
2022-04;"Solaire";1,75100094407
2022-05;"Solaire";2,281757981243
2022-06;"Solaire";2,194183156567
2022-07;"Solaire";2,56321037013
2022-08;"Solaire";2,266205945063
2022-09;"Solaire";1,79072173515
2022-10;"Solaire";1,270251884991
2022-11;"Solaire";0,816344407825
2022-12;"Solaire";0,481734448981
2023-01;"Solaire";0,61481313694
2023-02;"Solaire";1,231734853728
2023-03;"Solaire";1,633561640641
2023-04;"Solaire";2,140223072385
2023-05;"Solaire";2,510944517459
2023-06;"Solaire";2,672260087302
2023-07;"Solaire";2,689900809351
2023-08;"Solaire";2,639712111157
1995-01;"Thermique renouvelable et déchets";0
1995-02;"Thermique renouvelable et déchets";0
1995-03;"Thermique renouvelable et déchets";0
1995-04;"Thermique renouvelable et déchets";0
1995-05;"Thermique renouvelable et déchets";0
1995-06;"Thermique renouvelable et déchets";0
1995-07;"Thermique renouvelable et déchets";0
1995-08;"Thermique renouvelable et déchets";0
1995-09;"Thermique renouvelable et déchets";0
1995-10;"Thermique renouvelable et déchets";0
1995-11;"Thermique renouvelable et déchets";0
1995-12;"Thermique renouvelable et déchets";0
1996-01;"Thermique renouvelable et déchets";0
1996-02;"Thermique renouvelable et déchets";0
1996-03;"Thermique renouvelable et déchets";0
1996-04;"Thermique renouvelable et déchets";0
1996-05;"Thermique renouvelable et déchets";0
1996-06;"Thermique renouvelable et déchets";0
1996-07;"Thermique renouvelable et déchets";0
1996-08;"Thermique renouvelable et déchets";0
1996-09;"Thermique renouvelable et déchets";0
1996-10;"Thermique renouvelable et déchets";0
1996-11;"Thermique renouvelable et déchets";0
1996-12;"Thermique renouvelable et déchets";0
1997-01;"Thermique renouvelable et déchets";0
1997-02;"Thermique renouvelable et déchets";0
1997-03;"Thermique renouvelable et déchets";0
1997-04;"Thermique renouvelable et déchets";0
1997-05;"Thermique renouvelable et déchets";0
1997-06;"Thermique renouvelable et déchets";0
1997-07;"Thermique renouvelable et déchets";0
1997-08;"Thermique renouvelable et déchets";0
1997-09;"Thermique renouvelable et déchets";0
1997-10;"Thermique renouvelable et déchets";0
1997-11;"Thermique renouvelable et déchets";0
1997-12;"Thermique renouvelable et déchets";0
1998-01;"Thermique renouvelable et déchets";0
1998-02;"Thermique renouvelable et déchets";0
1998-03;"Thermique renouvelable et déchets";0
1998-04;"Thermique renouvelable et déchets";0
1998-05;"Thermique renouvelable et déchets";0
1998-06;"Thermique renouvelable et déchets";0
1998-07;"Thermique renouvelable et déchets";0
1998-08;"Thermique renouvelable et déchets";0
1998-09;"Thermique renouvelable et déchets";0
1998-10;"Thermique renouvelable et déchets";0
1998-11;"Thermique renouvelable et déchets";0
1998-12;"Thermique renouvelable et déchets";0
1999-01;"Thermique renouvelable et déchets";0
1999-02;"Thermique renouvelable et déchets";0
1999-03;"Thermique renouvelable et déchets";0
1999-04;"Thermique renouvelable et déchets";0
1999-05;"Thermique renouvelable et déchets";0
1999-06;"Thermique renouvelable et déchets";0
1999-07;"Thermique renouvelable et déchets";0
1999-08;"Thermique renouvelable et déchets";0
1999-09;"Thermique renouvelable et déchets";0
1999-10;"Thermique renouvelable et déchets";0
1999-11;"Thermique renouvelable et déchets";0
1999-12;"Thermique renouvelable et déchets";0
2000-01;"Thermique renouvelable et déchets";0
2000-02;"Thermique renouvelable et déchets";0
2000-03;"Thermique renouvelable et déchets";0
2000-04;"Thermique renouvelable et déchets";0
2000-05;"Thermique renouvelable et déchets";0
2000-06;"Thermique renouvelable et déchets";0
2000-07;"Thermique renouvelable et déchets";0
2000-08;"Thermique renouvelable et déchets";0
2000-09;"Thermique renouvelable et déchets";0
2000-10;"Thermique renouvelable et déchets";0
2000-11;"Thermique renouvelable et déchets";0
2000-12;"Thermique renouvelable et déchets";0
2001-01;"Thermique renouvelable et déchets";0,1845
2001-02;"Thermique renouvelable et déchets";0,1845
2001-03;"Thermique renouvelable et déchets";0,1845
2001-04;"Thermique renouvelable et déchets";0,1845
2001-05;"Thermique renouvelable et déchets";0,1845
2001-06;"Thermique renouvelable et déchets";0,1845
2001-07;"Thermique renouvelable et déchets";0,1845
2001-08;"Thermique renouvelable et déchets";0,1845
2001-09;"Thermique renouvelable et déchets";0,1845
2001-10;"Thermique renouvelable et déchets";0,1845
2001-11;"Thermique renouvelable et déchets";0,1845
2001-12;"Thermique renouvelable et déchets";0,1845
2002-01;"Thermique renouvelable et déchets";0,2268
2002-02;"Thermique renouvelable et déchets";0,2268
2002-03;"Thermique renouvelable et déchets";0,2268
2002-04;"Thermique renouvelable et déchets";0,2268
2002-05;"Thermique renouvelable et déchets";0,2268
2002-06;"Thermique renouvelable et déchets";0,2268
2002-07;"Thermique renouvelable et déchets";0,2268
2002-08;"Thermique renouvelable et déchets";0,2268
2002-09;"Thermique renouvelable et déchets";0,2268
2002-10;"Thermique renouvelable et déchets";0,2268
2002-11;"Thermique renouvelable et déchets";0,2268
2002-12;"Thermique renouvelable et déchets";0,2268
2003-01;"Thermique renouvelable et déchets";0,2272
2003-02;"Thermique renouvelable et déchets";0,2272
2003-03;"Thermique renouvelable et déchets";0,2272
2003-04;"Thermique renouvelable et déchets";0,2272
2003-05;"Thermique renouvelable et déchets";0,2272
2003-06;"Thermique renouvelable et déchets";0,2272
2003-07;"Thermique renouvelable et déchets";0,2272
2003-08;"Thermique renouvelable et déchets";0,2272
2003-09;"Thermique renouvelable et déchets";0,2272
2003-10;"Thermique renouvelable et déchets";0,2272
2003-11;"Thermique renouvelable et déchets";0,2272
2003-12;"Thermique renouvelable et déchets";0,2272
2004-01;"Thermique renouvelable et déchets";0,2724
2004-02;"Thermique renouvelable et déchets";0,2724
2004-03;"Thermique renouvelable et déchets";0,2724
2004-04;"Thermique renouvelable et déchets";0,2724
2004-05;"Thermique renouvelable et déchets";0,2724
2004-06;"Thermique renouvelable et déchets";0,2724
2004-07;"Thermique renouvelable et déchets";0,2724
2004-08;"Thermique renouvelable et déchets";0,2724
2004-09;"Thermique renouvelable et déchets";0,2724
2004-10;"Thermique renouvelable et déchets";0,2724
2004-11;"Thermique renouvelable et déchets";0,2724
2004-12;"Thermique renouvelable et déchets";0,2724
2005-01;"Thermique renouvelable et déchets";0,2781
2005-02;"Thermique renouvelable et déchets";0,2781
2005-03;"Thermique renouvelable et déchets";0,2781
2005-04;"Thermique renouvelable et déchets";0,2781
2005-05;"Thermique renouvelable et déchets";0,2781
2005-06;"Thermique renouvelable et déchets";0,2781
2005-07;"Thermique renouvelable et déchets";0,2781
2005-08;"Thermique renouvelable et déchets";0,2781
2005-09;"Thermique renouvelable et déchets";0,2781
2005-10;"Thermique renouvelable et déchets";0,2781
2005-11;"Thermique renouvelable et déchets";0,2781
2005-12;"Thermique renouvelable et déchets";0,2781
2006-01;"Thermique renouvelable et déchets";0,2783
2006-02;"Thermique renouvelable et déchets";0,2783
2006-03;"Thermique renouvelable et déchets";0,2783
2006-04;"Thermique renouvelable et déchets";0,2783
2006-05;"Thermique renouvelable et déchets";0,2783
2006-06;"Thermique renouvelable et déchets";0,2783
2006-07;"Thermique renouvelable et déchets";0,2783
2006-08;"Thermique renouvelable et déchets";0,2783
2006-09;"Thermique renouvelable et déchets";0,2783
2006-10;"Thermique renouvelable et déchets";0,2783
2006-11;"Thermique renouvelable et déchets";0,2783
2006-12;"Thermique renouvelable et déchets";0,2783
2007-01;"Thermique renouvelable et déchets";0,3153
2007-02;"Thermique renouvelable et déchets";0,3153
2007-03;"Thermique renouvelable et déchets";0,3153
2007-04;"Thermique renouvelable et déchets";0,3153
2007-05;"Thermique renouvelable et déchets";0,3153
2007-06;"Thermique renouvelable et déchets";0,3153
2007-07;"Thermique renouvelable et déchets";0,3153
2007-08;"Thermique renouvelable et déchets";0,3153
2007-09;"Thermique renouvelable et déchets";0,3153
2007-10;"Thermique renouvelable et déchets";0,3153
2007-11;"Thermique renouvelable et déchets";0,3153
2007-12;"Thermique renouvelable et déchets";0,3153
2008-01;"Thermique renouvelable et déchets";0,3434
2008-02;"Thermique renouvelable et déchets";0,3434
2008-03;"Thermique renouvelable et déchets";0,3434
2008-04;"Thermique renouvelable et déchets";0,3434
2008-05;"Thermique renouvelable et déchets";0,3434
2008-06;"Thermique renouvelable et déchets";0,3434
2008-07;"Thermique renouvelable et déchets";0,3434
2008-08;"Thermique renouvelable et déchets";0,3434
2008-09;"Thermique renouvelable et déchets";0,3434
2008-10;"Thermique renouvelable et déchets";0,3434
2008-11;"Thermique renouvelable et déchets";0,3434
2008-12;"Thermique renouvelable et déchets";0,3434
2009-01;"Thermique renouvelable et déchets";0,3618
2009-02;"Thermique renouvelable et déchets";0,3618
2009-03;"Thermique renouvelable et déchets";0,3618
2009-04;"Thermique renouvelable et déchets";0,3618
2009-05;"Thermique renouvelable et déchets";0,3618
2009-06;"Thermique renouvelable et déchets";0,3618
2009-07;"Thermique renouvelable et déchets";0,3618
2009-08;"Thermique renouvelable et déchets";0,3618
2009-09;"Thermique renouvelable et déchets";0,3618
2009-10;"Thermique renouvelable et déchets";0,3618
2009-11;"Thermique renouvelable et déchets";0,3618
2009-12;"Thermique renouvelable et déchets";0,3618
2010-01;"Thermique renouvelable et déchets";0,423
2010-02;"Thermique renouvelable et déchets";0,386
2010-03;"Thermique renouvelable et déchets";0,428
2010-04;"Thermique renouvelable et déchets";0,37
2010-05;"Thermique renouvelable et déchets";0,408
2010-06;"Thermique renouvelable et déchets";0,378
2010-07;"Thermique renouvelable et déchets";0,4
2010-08;"Thermique renouvelable et déchets";0,421
2010-09;"Thermique renouvelable et déchets";0,359
2010-10;"Thermique renouvelable et déchets";0,361
2010-11;"Thermique renouvelable et déchets";0,456
2010-12;"Thermique renouvelable et déchets";0,462
2011-01;"Thermique renouvelable et déchets";0,477
2011-02;"Thermique renouvelable et déchets";0,433
2011-03;"Thermique renouvelable et déchets";0,51
2011-04;"Thermique renouvelable et déchets";0,414
2011-05;"Thermique renouvelable et déchets";0,426
2011-06;"Thermique renouvelable et déchets";0,42
2011-07;"Thermique renouvelable et déchets";0,484
2011-08;"Thermique renouvelable et déchets";0,48
2011-09;"Thermique renouvelable et déchets";0,418
2011-10;"Thermique renouvelable et déchets";0,404
2011-11;"Thermique renouvelable et déchets";0,488
2011-12;"Thermique renouvelable et déchets";0,509
2012-01;"Thermique renouvelable et déchets";0,514
2012-02;"Thermique renouvelable et déchets";0,454
2012-03;"Thermique renouvelable et déchets";0,531
2012-04;"Thermique renouvelable et déchets";0,405
2012-05;"Thermique renouvelable et déchets";0,469
2012-06;"Thermique renouvelable et déchets";0,437
2012-07;"Thermique renouvelable et déchets";0,513
2012-08;"Thermique renouvelable et déchets";0,486
2012-09;"Thermique renouvelable et déchets";0,47
2012-10;"Thermique renouvelable et déchets";0,45
2012-11;"Thermique renouvelable et déchets";0,514
2012-12;"Thermique renouvelable et déchets";0,525
2013-01;"Thermique renouvelable et déchets";0,654
2013-02;"Thermique renouvelable et déchets";0,595
2013-03;"Thermique renouvelable et déchets";0,642
2013-04;"Thermique renouvelable et déchets";0,469
2013-05;"Thermique renouvelable et déchets";0,537
2013-06;"Thermique renouvelable et déchets";0,508
2013-07;"Thermique renouvelable et déchets";0,577
2013-08;"Thermique renouvelable et déchets";0,584
2013-09;"Thermique renouvelable et déchets";0,525
2013-10;"Thermique renouvelable et déchets";0,607
2013-11;"Thermique renouvelable et déchets";0,663
2013-12;"Thermique renouvelable et déchets";0,68
2014-01;"Thermique renouvelable et déchets";0,62470248776
2014-02;"Thermique renouvelable et déchets";0,573121150394
2014-03;"Thermique renouvelable et déchets";0,619024034595
2014-04;"Thermique renouvelable et déchets";0,533254633217
2014-05;"Thermique renouvelable et déchets";0,608693195075
2014-06;"Thermique renouvelable et déchets";0,532428808289
2014-07;"Thermique renouvelable et déchets";0,597988503244
2014-08;"Thermique renouvelable et déchets";0,589990385109
2014-09;"Thermique renouvelable et déchets";0,54801902572
2014-10;"Thermique renouvelable et déchets";0,563307549613
2014-11;"Thermique renouvelable et déchets";0,647230416643
2014-12;"Thermique renouvelable et déchets";0,671310258376
2015-01;"Thermique renouvelable et déchets";0,681248882741
2015-02;"Thermique renouvelable et déchets";0,625527258029
2015-03;"Thermique renouvelable et déchets";0,684770187209
2015-04;"Thermique renouvelable et déchets";0,576576655832
2015-05;"Thermique renouvelable et déchets";0,628388930673
2015-06;"Thermique renouvelable et déchets";0,588863310828
2015-07;"Thermique renouvelable et déchets";0,64352971839
2015-08;"Thermique renouvelable et déchets";0,656850425697
2015-09;"Thermique renouvelable et déchets";0,631223152652
2015-10;"Thermique renouvelable et déchets";0,617640014185
2015-11;"Thermique renouvelable et déchets";0,709327042105
2015-12;"Thermique renouvelable et déchets";0,742289798628
2016-01;"Thermique renouvelable et déchets";0,758650388339
2016-02;"Thermique renouvelable et déchets";0,70614193051
2016-03;"Thermique renouvelable et déchets";0,756239138005
2016-04;"Thermique renouvelable et déchets";0,680279378401
2016-05;"Thermique renouvelable et déchets";0,709228872526
2016-06;"Thermique renouvelable et déchets";0,64606381937
2016-07;"Thermique renouvelable et déchets";0,744137217168
2016-08;"Thermique renouvelable et déchets";0,721140773471
2016-09;"Thermique renouvelable et déchets";0,676375692338
2016-10;"Thermique renouvelable et déchets";0,669032827501
2016-11;"Thermique renouvelable et déchets";0,769426413912
2016-12;"Thermique renouvelable et déchets";0,80384517514
2017-01;"Thermique renouvelable et déchets";0,811097487534
2017-02;"Thermique renouvelable et déchets";0,720034625213
2017-03;"Thermique renouvelable et déchets";0,775923466528
2017-04;"Thermique renouvelable et déchets";0,728119366262
2017-05;"Thermique renouvelable et déchets";0,73578900897
2017-06;"Thermique renouvelable et déchets";0,751845510517
2017-07;"Thermique renouvelable et déchets";0,814755078275
2017-08;"Thermique renouvelable et déchets";0,782920786109
2017-09;"Thermique renouvelable et déchets";0,762142295582
2017-10;"Thermique renouvelable et déchets";0,759278088197
2017-11;"Thermique renouvelable et déchets";0,851864742896
2017-12;"Thermique renouvelable et déchets";0,830558563334
2018-01;"Thermique renouvelable et déchets";0,785421968676
2018-02;"Thermique renouvelable et déchets";0,760034977669
2018-03;"Thermique renouvelable et déchets";0,789498431756
2018-04;"Thermique renouvelable et déchets";0,792229676175
2018-05;"Thermique renouvelable et déchets";0,81394350724
2018-06;"Thermique renouvelable et déchets";0,728608114149
2018-07;"Thermique renouvelable et déchets";0,817148619188
2018-08;"Thermique renouvelable et déchets";0,807386442496
2018-09;"Thermique renouvelable et déchets";0,801235639723
2018-10;"Thermique renouvelable et déchets";0,767413681777
2018-11;"Thermique renouvelable et déchets";0,785053427479
2018-12;"Thermique renouvelable et déchets";0,832775414663
2019-01;"Thermique renouvelable et déchets";0,826128890534
2019-02;"Thermique renouvelable et déchets";0,75797891029
2019-03;"Thermique renouvelable et déchets";0,842881565073
2019-04;"Thermique renouvelable et déchets";0,747049770562
2019-05;"Thermique renouvelable et déchets";0,814589201241
2019-06;"Thermique renouvelable et déchets";0,718302795493
2019-07;"Thermique renouvelable et déchets";0,771851169406
2019-08;"Thermique renouvelable et déchets";0,86836446274
2019-09;"Thermique renouvelable et déchets";0,761883277792
2019-10;"Thermique renouvelable et déchets";0,754992010214
2019-11;"Thermique renouvelable et déchets";0,793164612379
2019-12;"Thermique renouvelable et déchets";0,827177133765
2020-01;"Thermique renouvelable et déchets";0,830430510929
2020-02;"Thermique renouvelable et déchets";0,782522176859
2020-03;"Thermique renouvelable et déchets";0,850400939439
2020-04;"Thermique renouvelable et déchets";0,815162803326
2020-05;"Thermique renouvelable et déchets";0,832140097164
2020-06;"Thermique renouvelable et déchets";0,795378381301
2020-07;"Thermique renouvelable et déchets";0,831141429858
2020-08;"Thermique renouvelable et déchets";0,805959221461
2020-09;"Thermique renouvelable et déchets";0,754964717603
2020-10;"Thermique renouvelable et déchets";0,742986919185
2020-11;"Thermique renouvelable et déchets";0,771044856349
2020-12;"Thermique renouvelable et déchets";0,815864120472
2021-01;"Thermique renouvelable et déchets";0,839268609859
2021-02;"Thermique renouvelable et déchets";0,767899303797
2021-03;"Thermique renouvelable et déchets";0,850965679781
2021-04;"Thermique renouvelable et déchets";0,791456069898
2021-05;"Thermique renouvelable et déchets";0,84027181123
2021-06;"Thermique renouvelable et déchets";0,781389064498
2021-07;"Thermique renouvelable et déchets";0,904749288788
2021-08;"Thermique renouvelable et déchets";0,862095928037
2021-09;"Thermique renouvelable et déchets";0,81431216855
2021-10;"Thermique renouvelable et déchets";0,833219344861
2021-11;"Thermique renouvelable et déchets";0,836372841383
2021-12;"Thermique renouvelable et déchets";0,85734557984
2022-01;"Thermique renouvelable et déchets";0,878507492469
2022-02;"Thermique renouvelable et déchets";0,857571616117
2022-03;"Thermique renouvelable et déchets";0,931638016693
2022-04;"Thermique renouvelable et déchets";0,86117094016
2022-05;"Thermique renouvelable et déchets";0,966668471266
2022-06;"Thermique renouvelable et déchets";0,844326109476
2022-07;"Thermique renouvelable et déchets";0,888550867533
2022-08;"Thermique renouvelable et déchets";0,863959299403
2022-09;"Thermique renouvelable et déchets";0,883125217854
2022-10;"Thermique renouvelable et déchets";0,83289978262
2022-11;"Thermique renouvelable et déchets";0,855994762176
2022-12;"Thermique renouvelable et déchets";0,906709963966
2023-01;"Thermique renouvelable et déchets";0,876711243795
2023-02;"Thermique renouvelable et déchets";0,807532254468
2023-03;"Thermique renouvelable et déchets";0,870558751858
2023-04;"Thermique renouvelable et déchets";0,85004916173
2023-05;"Thermique renouvelable et déchets";0,92139445047
2023-06;"Thermique renouvelable et déchets";0,819583548716
2023-07;"Thermique renouvelable et déchets";0,909211761072
2023-08;"Thermique renouvelable et déchets";0,87351004407
1995-01;"Production totale";48,32
1995-02;"Production totale";39,49
1995-03;"Production totale";44,41
1995-04;"Production totale";38,4
1995-05;"Production totale";36,53
1995-06;"Production totale";35,27
1995-07;"Production totale";35,98
1995-08;"Production totale";34,21
1995-09;"Production totale";35,45
1995-10;"Production totale";37,35
1995-11;"Production totale";41,81
1995-12;"Production totale";44,15
1996-01;"Production totale";47,75
1996-02;"Production totale";45,87
1996-03;"Production totale";44,59
1996-04;"Production totale";39,58
1996-05;"Production totale";37,73
1996-06;"Production totale";35,21
1996-07;"Production totale";36,66
1996-08;"Production totale";33,79
1996-09;"Production totale";36,25
1996-10;"Production totale";40,84
1996-11;"Production totale";43,56
1996-12;"Production totale";47,99
1997-01;"Production totale";49,59
1997-02;"Production totale";41,36
1997-03;"Production totale";40,28
1997-04;"Production totale";39,84
1997-05;"Production totale";36,94
1997-06;"Production totale";35,61
1997-07;"Production totale";36,83
1997-08;"Production totale";34,63
1997-09;"Production totale";35,96
1997-10;"Production totale";41,12
1997-11;"Production totale";42,49
1997-12;"Production totale";46,31
1998-01;"Production totale";48,66
1998-02;"Production totale";43,12
1998-03;"Production totale";44,82
1998-04;"Production totale";41,53
1998-05;"Production totale";37,81
1998-06;"Production totale";36,43
1998-07;"Production totale";35,98
1998-08;"Production totale";30,74
1998-09;"Production totale";34,6
1998-10;"Production totale";41
1998-11;"Production totale";44,66
1998-12;"Production totale";47,62
1999-01;"Production totale";47,46
1999-02;"Production totale";44,55
1999-03;"Production totale";44,47
1999-04;"Production totale";41,45
1999-05;"Production totale";37,24
1999-06;"Production totale";36,53
1999-07;"Production totale";38,26
1999-08;"Production totale";35,63
1999-09;"Production totale";37,72
1999-10;"Production totale";41,99
1999-11;"Production totale";45,65
1999-12;"Production totale";49,35
2000-01;"Production totale";50,13
2000-02;"Production totale";45,88
2000-03;"Production totale";46,86
2000-04;"Production totale";42,8
2000-05;"Production totale";39,85
2000-06;"Production totale";38,05
2000-07;"Production totale";38,75
2000-08;"Production totale";37,1
2000-09;"Production totale";38,41
2000-10;"Production totale";42,83
2000-11;"Production totale";47,28
2000-12;"Production totale";48,75
2001-01;"Production totale";51,48
2001-02;"Production totale";44,68
2001-03;"Production totale";46,63
2001-04;"Production totale";42,85
2001-05;"Production totale";39,84
2001-06;"Production totale";37,95
2001-07;"Production totale";39,59
2001-08;"Production totale";37,06
2001-09;"Production totale";39,31
2001-10;"Production totale";43,55
2001-11;"Production totale";48,88
2001-12;"Production totale";52,22
2002-01;"Production totale";52,86
2002-02;"Production totale";45,42
2002-03;"Production totale";47,49
2002-04;"Production totale";43,9
2002-05;"Production totale";42,51
2002-06;"Production totale";39,84
2002-07;"Production totale";40,37
2002-08;"Production totale";37,06
2002-09;"Production totale";40,02
2002-10;"Production totale";44,82
2002-11;"Production totale";48,3
2002-12;"Production totale";52,94
2003-01;"Production totale";56,25
2003-02;"Production totale";50,85
2003-03;"Production totale";48,35
2003-04;"Production totale";43,62
2003-05;"Production totale";40,89
2003-06;"Production totale";39,11
2003-07;"Production totale";40,29
2003-08;"Production totale";36,84
2003-09;"Production totale";38,49
2003-10;"Production totale";44,99
2003-11;"Production totale";48,62
2003-12;"Production totale";53,81
2004-01;"Production totale";55,46
2004-02;"Production totale";49,03
2004-03;"Production totale";50,1
2004-04;"Production totale";43,9
2004-05;"Production totale";41,78
2004-06;"Production totale";39,81
2004-07;"Production totale";40
2004-08;"Production totale";37,67
2004-09;"Production totale";40,23
2004-10;"Production totale";45,42
2004-11;"Production totale";49,94
2004-12;"Production totale";55,38
2005-01;"Production totale";54,63
2005-02;"Production totale";49,67
2005-03;"Production totale";49,78
2005-04;"Production totale";43,71
2005-05;"Production totale";42,6
2005-06;"Production totale";41,04
2005-07;"Production totale";39,88
2005-08;"Production totale";39,12
2005-09;"Production totale";40,73
2005-10;"Production totale";43,56
2005-11;"Production totale";49,91
2005-12;"Production totale";55,5
2006-01;"Production totale";55,97
2006-02;"Production totale";48,18
2006-03;"Production totale";50,15
2006-04;"Production totale";45,27
2006-05;"Production totale";42,64
2006-06;"Production totale";40,49
2006-07;"Production totale";40,48
2006-08;"Production totale";39,02
2006-09;"Production totale";41,29
2006-10;"Production totale";44,3
